geonameid,name,admin1,geom,cluster
4047391,Belleview School (historical),AL,0101000020CE1300001E6BF4510628274177A05413513B3141,-1
4047392,Oxford Middle School,AL,0101000020CE13000029C00A5BD8712C41CE8F1090509B3241,-1
4047405,Belleville Elementary School (historical),AL,0101000020CE13000044D5237BD9AA29414BBF0B61BB872D41,-1
4047425,Bellinger Hill Elementary School,AL,0101000020CE1300000C9AC04564A62B41311D30A739743041,0
4047431,Bellingrath Junior High School,AL,0101000020CE1300008E9E9D3E3EA52B413C17DA6BDE6C3041,0
4047444,Sweetwater School,AL,0101000020CE1300008469FC9FCB0C2C41A940CD0168EE3041,-1
4047450,Slater School (historical),AL,0101000020CE130000CFDE9E6947D12941610A360393553241,7
4047462,Uchee School,AL,0101000020CE130000C5607F3B60EA2E41E4ABA6E2C4B13041,-1
4047465,Bellefontaine School,AL,0101000020CE130000B3CA41DE4E9C28411F2F99512BFA2A41,-1
4047467,Bells School (historical),AL,0101000020CE130000DAAF1F2F8CAE28416F033AE807413441,-1
4047471,Belltone School (historical),AL,0101000020CE13000087BA779C134F2841C8131D8929313341,-1
4047479,Bellview Academy (historical),AL,0101000020CE1300001FC5B1A533AB294131826471F8782D41,-1
4047482,West End Elementary School,AL,0101000020CE13000063962EE983102B411DEB337931523341,-1
4047493,Bellview School (historical),AL,0101000020CE13000010BCC986F6E82B4116A258BF7B353441,-1
4047509,Bellwood High School (historical),AL,0101000020CE130000696F35698D842D4107D467E77B0E2D41,-1
4047523,Belmont High School (historical),AL,0101000020CE13000053B767BF0AED26417311A0E7CF933041,-1
4047537,Belsaw School,AL,0101000020CE130000159C1679E73227412759AA96D3272C41,-1
4047544,Derossitt School,AR,0101000020CE13000059CABA0027561D41BA67B1434A903441,-1
4047557,Bells School (historical),AL,0101000020CE130000EE4AF27FDB662E41FA4394C53D562E41,-1
4047566,Fairmount School (historical),AR,0101000020CE130000E641EDF4A52A1841C1C39BDB9DAF3341,-1
4047594,Immaculate Conception School,AR,0101000020CE1300001A271BF9EBD71441C78546D4E3093441,29
4047636,Mills High School,AR,0101000020CE130000BA5E791324C914411F24B66838CA3341,0
4047669,Bennett School (historical),AL,0101000020CE1300004140F1C5BA3D284180E8C80292073341,-1
4047699,Benson School (historical),AL,0101000020CE130000A368D152068A2C4154E8D16075323141,-1
4047733,Benview School (historical),AL,0101000020CE130000017265AF67092A41B957D641A3133241,-1
4047737,Benville School (historical),AL,0101000020CE130000CA7387441D172841A058AA939EAF3141,-1
4047741,Bera School (historical),AL,0101000020CE130000746B89D3FCFE2741F6904B741BE83341,-1
4047743,Berachah Academy,AL,0101000020CE130000ACCC739426FA2941BEA8BCB6807A3441,2
4047769,Bergamot School (historical),AL,0101000020CE1300007C154DA232CC2541BBB6B59BA1382F41,-1
4047775,Berkley Center Head Start School,AL,0101000020CE130000B28F23CF017B2A41FBAF7E66D0493441,-1
4047776,Coral Shores School,FL,0101000020CE1300008AB686B1FB00384164813463691A1541,-1
4047780,Cahoon School,FL,0101000020CE1300005CDC0302DB5B344151B3D8D6EDBB2341,49
4047781,Berkley Junior High School,AL,0101000020CE13000030EF4F17BD7A2A412A6FE4E8244B3441,-1
4047786,Central School,FL,0101000020CE13000021E166DF606935414515DC8D28052441,0
4047798,Dowdell Junior High School,FL,0101000020CE130000189146C907793441743188F6FD722341,121
